Longitud (m);Ancho de Puente (m);Sep Vigas Longitudinales (m);N° Paneles;Altura (m);Disposicion de Arriostre;Forma de Arriostre;Dim. Arriostre;Forma de Cordones;Dimension de Cordon Sup/Inf;Forma de Diagonales;Dim. Diag. S/I;Forma de Montante;Dim. Montante;Peso total (ton)
56;11.6;2.1;6;6.1;Cruz;T;150x150x12.5;Cajon HSS;403x413x19.0;Cajon HSS;380x390x16.0;Cajon HSS;200x200x12.5;121.99
56;11.6;2.1;6;6.1;Cruz;L;150x150x12.5;Cajon HSS;413x423x19.0;Cajon HSS;390x400x16.0;Cajon HSS;200x200x12.5;125.24
56;11.6;2.1;6;6.2;Cruz;T;150x150x12.5;Cajon HSS;423x433x19.0;Cajon HSS;400x410x16.0;Cajon HSS;200x200x12.5;128.59
56;11.6;2.1;6;6.2;Cruz;L;150x150x12.5;Cajon HSS;433x403x19.0;Cajon HSS;410x380x16.0;Cajon HSS;200x200x12.5;125.33
56;11.6;2.1;6;6.3;Cruz;T;150x150x12.5;Cajon HSS;403x413x19.0;Cajon HSS;380x390x16.0;Cajon HSS;200x200x12.5;122.16
56;11.6;2.1;6;6.3;Cruz;L;150x150x12.5;Cajon HSS;413x423x19.0;Cajon HSS;390x400x16.0;Cajon HSS;200x200x12.5;125.42
56;11.6;2.1;6;6.4;Cruz;T;150x150x12.5;Cajon HSS;423x433x19.0;Cajon HSS;400x410x16.0;Cajon HSS;200x200x12.5;128.77
56;11.6;2.1;6;6.4;Cruz;L;150x150x12.5;Cajon HSS;433x403x19.0;Cajon HSS;410x380x16.0;Cajon HSS;200x200x12.5;125.51
56;11.6;2.1;6;6.5;Cruz;T;150x150x12.5;Cajon HSS;403x413x19.0;Cajon HSS;380x390x16.0;Cajon HSS;200x200x12.5;122.33
56;11.6;2.1;6;6.5;Cruz;L;150x150x12.5;Cajon HSS;413x423x19.0;Cajon HSS;390x400x16.0;Cajon HSS;200x200x12.5;125.6
56;11.6;2.1;6;6.6;Cruz;T;150x150x12.5;Cajon HSS;423x433x19.0;Cajon HSS;400x410x16.0;Cajon HSS;200x200x12.5;128.95
56;11.6;2.1;6;6.6;Cruz;L;150x150x12.5;Cajon HSS;433x403x19.0;Cajon HSS;410x380x16.0;Cajon HSS;200x200x12.5;125.69
57;11.6;2.1;6;5.7;Cruz;T;150x150x12.5;Cajon HSS;406x416x19.0;Cajon HSS;390x400x16.0;Cajon HSS;200x200x12.5;126.49
57;11.6;2.1;6;5.7;Cruz;L;150x150x12.5;Cajon HSS;416x426x19.0;Cajon HSS;400x400x16.0;Cajon HSS;200x200x12.5;128.61
57;11.6;2.1;6;5.8;Cruz;T;150x150x12.5;Cajon HSS;426x436x19.0;Cajon HSS;400x410x16.0;Cajon HSS;200x200x12.5;130.82
57;11.6;2.1;6;5.8;Cruz;L;150x150x12.5;Cajon HSS;436x406x19.0;Cajon HSS;410x390x16.0;Cajon HSS;200x200x12.5;128.7
57;11.6;2.1;6;5.9;Cruz;T;150x150x12.5;Cajon HSS;406x416x19.0;Cajon HSS;390x400x16.0;Cajon HSS;200x200x12.5;126.66
57;11.6;2.1;6;5.9;Cruz;L;150x150x12.5;Cajon HSS;416x426x19.0;Cajon HSS;400x400x16.0;Cajon HSS;200x200x12.5;128.79
57;11.6;2.1;6;6;Cruz;T;150x150x12.5;Cajon HSS;426x436x19.0;Cajon HSS;400x410x16.0;Cajon HSS;200x200x12.5;131
57;11.6;2.1;6;6;Cruz;L;150x150x12.5;Cajon HSS;436x406x19.0;Cajon HSS;410x390x16.0;Cajon HSS;200x200x12.5;128.88
57;11.6;2.1;6;6.1;Cruz;T;150x150x12.5;Cajon HSS;406x416x19.0;Cajon HSS;390x400x16.0;Cajon HSS;200x200x12.5;126.84
57;11.6;2.1;6;6.1;Cruz;L;150x150x12.5;Cajon HSS;416x426x19.0;Cajon HSS;400x400x16.0;Cajon HSS;200x200x12.5;128.97
