Longitud (m);Ancho de Puente (m);Sep Vigas Longitudinales (m);N° Paneles;Altura (m);Disposicion de Arriostre;Forma de Arriostre;Dim. Arriostre;Forma de Cordones;Dimension de Cordon Sup/Inf;Forma de Diagonales;Dim. Diag. S/I;Forma de Montante;Dim. Montante;Peso total (ton)
61;11.6;2.1;6;7.1;Cruz;T;150x150x12.5;Cajon HSS;418x428x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;140.53
61;11.6;2.1;6;7.1;Cruz;L;150x150x12.5;Cajon HSS;428x438x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;144.1
62;11.6;2.1;6;6.2;Cruz;T;150x150x12.5;Cajon HSS;441x451x25.0;Cajon HSS;420x430x19.0;Cajon HSS;210x210x12.5;181.49
62;11.6;2.1;6;6.2;Cruz;L;150x150x12.5;Cajon HSS;451x421x25.0;Cajon HSS;430x400x19.0;Cajon HSS;210x210x12.5;177.07
62;11.6;2.1;6;6.3;Cruz;T;150x150x12.5;Cajon HSS;421x431x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;142.43
62;11.6;2.1;6;6.3;Cruz;L;150x150x12.5;Cajon HSS;431x441x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;146.05
62;11.6;2.1;6;6.4;Cruz;T;150x150x12.5;Cajon HSS;441x451x25.0;Cajon HSS;420x430x19.0;Cajon HSS;210x210x12.5;181.72
62;11.6;2.1;6;6.4;Cruz;L;150x150x12.5;Cajon HSS;451x421x25.0;Cajon HSS;430x400x19.0;Cajon HSS;210x210x12.5;177.29
62;11.6;2.1;6;6.5;Cruz;T;150x150x12.5;Cajon HSS;421x431x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;142.61
62;11.6;2.1;6;6.5;Cruz;L;150x150x12.5;Cajon HSS;431x441x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;146.23
62;11.6;2.1;6;6.6;Cruz;T;150x150x12.5;Cajon HSS;441x451x25.0;Cajon HSS;420x430x19.0;Cajon HSS;210x210x12.5;181.95
62;11.6;2.1;6;6.6;Cruz;L;150x150x12.5;Cajon HSS;451x421x25.0;Cajon HSS;430x400x19.0;Cajon HSS;210x210x12.5;177.52
62;11.6;2.1;6;6.7;Cruz;T;150x150x12.5;Cajon HSS;421x431x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;142.8
62;11.6;2.1;6;6.7;Cruz;L;150x150x12.5;Cajon HSS;431x441x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;146.42
62;11.6;2.1;6;6.8;Cruz;T;150x150x12.5;Cajon HSS;441x451x25.0;Cajon HSS;420x430x19.0;Cajon HSS;210x210x12.5;182.19
62;11.6;2.1;6;6.8;Cruz;L;150x150x12.5;Cajon HSS;451x421x25.0;Cajon HSS;430x400x19.0;Cajon HSS;210x210x12.5;177.75
62;11.6;2.1;6;6.9;Cruz;T;150x150x12.5;Cajon HSS;421x431x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;142.98
62;11.6;2.1;6;6.9;Cruz;L;150x150x12.5;Cajon HSS;431x441x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;146.61
62;11.6;2.1;6;7;Cruz;T;150x150x12.5;Cajon HSS;441x451x25.0;Cajon HSS;420x430x19.0;Cajon HSS;210x210x12.5;182.42
62;11.6;2.1;6;7;Cruz;L;150x150x12.5;Cajon HSS;451x421x25.0;Cajon HSS;430x400x19.0;Cajon HSS;210x210x12.5;177.98
62;11.6;2.1;6;7.1;Cruz;T;150x150x12.5;Cajon HSS;421x431x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;143.17
62;11.6;2.1;6;7.1;Cruz;L;150x150x12.5;Cajon HSS;431x441x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;146.8
62;11.6;2.1;6;7.2;Cruz;T;150x150x12.5;Cajon HSS;441x451x25.0;Cajon HSS;420x430x19.0;Cajon HSS;210x210x12.5;182.66
62;11.6;2.1;6;7.2;Cruz;L;150x150x12.5;Cajon HSS;451x421x25.0;Cajon HSS;430x400x19.0;Cajon HSS;210x210x12.5;178.21
63;11.6;2.1;6;6.3;Cruz;T;150x150x12.5;Cajon HSS;424x434x19.0;Cajon HSS;400x410x16.0;Cajon HSS;220x220x12.5;145.08
63;11.6;2.1;6;6.3;Cruz;L;150x150x12.5;Cajon HSS;434x444x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;148.75
63;11.6;2.1;6;6.4;Cruz;T;150x150x12.5;Cajon HSS;444x454x25.0;Cajon HSS;420x430x19.0;Cajon HSS;220x220x12.5;185.11
63;11.6;2.1;6;6.4;Cruz;L;150x150x12.5;Cajon HSS;454x424x25.0;Cajon HSS;430x400x19.0;Cajon HSS;220x220x12.5;180.61
63;11.6;2.1;6;6.5;Cruz;T;150x150x12.5;Cajon HSS;424x434x19.0;Cajon HSS;400x410x16.0;Cajon HSS;220x220x12.5;145.26
63;11.6;2.1;6;6.5;Cruz;L;150x150x12.5;Cajon HSS;434x444x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;148.94
63;11.6;2.1;6;6.6;Cruz;T;150x150x12.5;Cajon HSS;444x454x25.0;Cajon HSS;420x430x19.0;Cajon HSS;220x220x12.5;185.35
63;11.6;2.1;6;6.6;Cruz;L;150x150x12.5;Cajon HSS;454x424x25.0;Cajon HSS;430x400x19.0;Cajon HSS;220x220x12.5;180.84
63;11.6;2.1;6;6.7;Cruz;T;150x150x12.5;Cajon HSS;424x434x19.0;Cajon HSS;400x410x16.0;Cajon HSS;220x220x12.5;145.45
63;11.6;2.1;6;6.7;Cruz;L;150x150x12.5;Cajon HSS;434x444x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;149.13
63;11.6;2.1;6;6.8;Cruz;T;150x150x12.5;Cajon HSS;444x454x25.0;Cajon HSS;420x430x19.0;Cajon HSS;220x220x12.5;185.58
63;11.6;2.1;6;6.8;Cruz;L;150x150x12.5;Cajon HSS;454x424x25.0;Cajon HSS;430x400x19.0;Cajon HSS;220x220x12.5;181.07
63;11.6;2.1;6;6.9;Cruz;T;150x150x12.5;Cajon HSS;424x434x19.0;Cajon HSS;400x410x16.0;Cajon HSS;220x220x12.5;145.63
63;11.6;2.1;6;6.9;Cruz;L;150x150x12.5;Cajon HSS;434x444x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;149.32
63;11.6;2.1;6;7;Cruz;T;150x150x12.5;Cajon HSS;444x454x25.0;Cajon HSS;420x430x19.0;Cajon HSS;220x220x12.5;185.82
63;11.6;2.1;6;7;Cruz;L;150x150x12.5;Cajon HSS;454x424x25.0;Cajon HSS;430x400x19.0;Cajon HSS;220x220x12.5;181.3
63;11.6;2.1;6;7.1;Cruz;T;150x150x12.5;Cajon HSS;424x434x19.0;Cajon HSS;400x410x16.0;Cajon HSS;220x220x12.5;145.82
63;11.6;2.1;6;7.1;Cruz;L;150x150x12.5;Cajon HSS;434x444x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;149.51
63;11.6;2.1;6;7.2;Cruz;T;150x150x12.5;Cajon HSS;444x454x25.0;Cajon HSS;420x430x19.0;Cajon HSS;220x220x12.5;186.05
63;11.6;2.1;6;7.2;Cruz;L;150x150x12.5;Cajon HSS;454x424x25.0;Cajon HSS;430x400x19.0;Cajon HSS;220x220x12.5;181.53
63;11.6;2.1;6;7.3;Cruz;T;150x150x12.5;Cajon HSS;424x434x19.0;Cajon HSS;400x410x16.0;Cajon HSS;220x220x12.5;146
63;11.6;2.1;6;7.3;Cruz;L;150x150x12.5;Cajon HSS;434x444x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;149.7
64;11.6;2.1;6;6.4;Cruz;T;150x150x12.5;Cajon HSS;447x457x25.0;Cajon HSS;420x430x19.0;Cajon HSS;220x220x12.5;188.52
64;11.6;2.1;6;6.4;Cruz;L;150x150x12.5;Cajon HSS;457x427x25.0;Cajon HSS;430x410x19.0;Cajon HSS;220x220x12.5;185.54
64;11.6;2.1;6;6.5;Cruz;T;150x150x12.5;Cajon HSS;427x437x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;150.61
64;11.6;2.1;6;6.5;Cruz;L;150x150x12.5;Cajon HSS;437x447x19.0;Cajon HSS;420x420x16.0;Cajon HSS;220x220x12.5;153
64;11.6;2.1;6;6.6;Cruz;T;150x150x12.5;Cajon HSS;447x457x25.0;Cajon HSS;420x430x19.0;Cajon HSS;220x220x12.5;188.76
64;11.6;2.1;6;6.6;Cruz;L;150x150x12.5;Cajon HSS;457x427x25.0;Cajon HSS;430x410x19.0;Cajon HSS;220x220x12.5;185.77
64;11.6;2.1;6;6.7;Cruz;T;150x150x12.5;Cajon HSS;427x437x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;150.79
64;11.6;2.1;6;6.7;Cruz;L;150x150x12.5;Cajon HSS;437x447x19.0;Cajon HSS;420x420x16.0;Cajon HSS;220x220x12.5;153.2
64;11.6;2.1;6;6.8;Cruz;T;150x150x12.5;Cajon HSS;447x457x25.0;Cajon HSS;420x430x19.0;Cajon HSS;220x220x12.5;188.99
64;11.6;2.1;6;6.8;Cruz;L;150x150x12.5;Cajon HSS;457x427x25.0;Cajon HSS;430x410x19.0;Cajon HSS;220x220x12.5;186
64;11.6;2.1;6;6.9;Cruz;T;150x150x12.5;Cajon HSS;427x437x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;150.98
64;11.6;2.1;6;6.9;Cruz;L;150x150x12.5;Cajon HSS;437x447x19.0;Cajon HSS;420x420x16.0;Cajon HSS;220x220x12.5;153.39
64;11.6;2.1;6;7;Cruz;T;150x150x12.5;Cajon HSS;447x457x25.0;Cajon HSS;420x430x19.0;Cajon HSS;220x220x12.5;189.23
64;11.6;2.1;6;7;Cruz;L;150x150x12.5;Cajon HSS;457x427x25.0;Cajon HSS;430x410x19.0;Cajon HSS;220x220x12.5;186.23
64;11.6;2.1;6;7.1;Cruz;T;150x150x12.5;Cajon HSS;427x437x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;151.17
64;11.6;2.1;6;7.1;Cruz;L;150x150x12.5;Cajon HSS;437x447x19.0;Cajon HSS;420x420x16.0;Cajon HSS;220x220x12.5;153.58
64;11.6;2.1;6;7.2;Cruz;T;150x150x12.5;Cajon HSS;447x457x25.0;Cajon HSS;420x430x19.0;Cajon HSS;220x220x12.5;189.46
64;11.6;2.1;6;7.2;Cruz;L;150x150x12.5;Cajon HSS;457x427x25.0;Cajon HSS;430x410x19.0;Cajon HSS;220x220x12.5;186.47
64;11.6;2.1;6;7.3;Cruz;T;150x150x12.5;Cajon HSS;427x437x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;151.36
64;11.6;2.1;6;7.3;Cruz;L;150x150x12.5;Cajon HSS;437x447x19.0;Cajon HSS;420x420x16.0;Cajon HSS;220x220x12.5;153.77
64;11.6;2.1;6;7.4;Cruz;T;150x150x12.5;Cajon HSS;447x457x25.0;Cajon HSS;420x430x19.0;Cajon HSS;220x220x12.5;189.7
64;11.6;2.1;6;7.4;Cruz;L;150x150x12.5;Cajon HSS;457x427x25.0;Cajon HSS;430x410x19.0;Cajon HSS;220x220x12.5;186.7
65;11.6;2.1;6;6.5;Cruz;T;150x150x12.5;Cajon HSS;430x440x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;153.33
65;11.6;2.1;6;6.5;Cruz;L;150x150x12.5;Cajon HSS;440x450x19.0;Cajon HSS;420x430x16.0;Cajon HSS;220x220x12.5;157.12
65;11.6;2.1;6;6.6;Cruz;T;150x150x12.5;Cajon HSS;450x460x25.0;Cajon HSS;430x440x19.0;Cajon HSS;220x220x12.5;195.42
65;11.6;2.1;6;6.6;Cruz;L;150x150x12.5;Cajon HSS;460x430x25.0;Cajon HSS;440x410x19.0;Cajon HSS;220x220x12.5;190.77
65;11.6;2.1;6;6.7;Cruz;T;150x150x12.5;Cajon HSS;430x440x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;153.52
65;11.6;2.1;6;6.7;Cruz;L;150x150x12.5;Cajon HSS;440x450x19.0;Cajon HSS;420x430x16.0;Cajon HSS;220x220x12.5;157.32
65;11.6;2.1;6;6.8;Cruz;T;150x150x12.5;Cajon HSS;450x460x25.0;Cajon HSS;430x440x19.0;Cajon HSS;220x220x12.5;195.66
65;11.6;2.1;6;6.8;Cruz;L;150x150x12.5;Cajon HSS;460x430x25.0;Cajon HSS;440x410x19.0;Cajon HSS;220x220x12.5;191
65;11.6;2.1;6;6.9;Cruz;T;150x150x12.5;Cajon HSS;430x440x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;153.7
65;11.6;2.1;6;6.9;Cruz;L;150x150x12.5;Cajon HSS;440x450x19.0;Cajon HSS;420x430x16.0;Cajon HSS;220x220x12.5;157.51
65;11.6;2.1;6;7;Cruz;T;150x150x12.5;Cajon HSS;450x460x25.0;Cajon HSS;430x440x19.0;Cajon HSS;220x220x12.5;195.9
65;11.6;2.1;6;7;Cruz;L;150x150x12.5;Cajon HSS;460x430x25.0;Cajon HSS;440x410x19.0;Cajon HSS;220x220x12.5;191.24
65;11.6;2.1;6;7.1;Cruz;T;150x150x12.5;Cajon HSS;430x440x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;153.89
65;11.6;2.1;6;7.1;Cruz;L;150x150x12.5;Cajon HSS;440x450x19.0;Cajon HSS;420x430x16.0;Cajon HSS;220x220x12.5;157.7
65;11.6;2.1;6;7.2;Cruz;T;150x150x12.5;Cajon HSS;450x460x25.0;Cajon HSS;430x440x19.0;Cajon HSS;220x220x12.5;196.14
65;11.6;2.1;6;7.2;Cruz;L;150x150x12.5;Cajon HSS;460x430x25.0;Cajon HSS;440x410x19.0;Cajon HSS;220x220x12.5;191.47
65;11.6;2.1;6;7.3;Cruz;T;150x150x12.5;Cajon HSS;430x440x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;154.08
65;11.6;2.1;6;7.3;Cruz;L;150x150x12.5;Cajon HSS;440x450x19.0;Cajon HSS;420x430x16.0;Cajon HSS;220x220x12.5;157.9
65;11.6;2.1;6;7.4;Cruz;T;150x150x12.5;Cajon HSS;450x460x25.0;Cajon HSS;430x440x19.0;Cajon HSS;220x220x12.5;196.38
65;11.6;2.1;6;7.4;Cruz;L;150x150x12.5;Cajon HSS;460x430x25.0;Cajon HSS;440x410x19.0;Cajon HSS;220x220x12.5;191.71
65;11.6;2.1;6;7.5;Cruz;T;150x150x12.5;Cajon HSS;430x440x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;154.27
65;11.6;2.1;6;7.5;Cruz;L;150x150x12.5;Cajon HSS;440x450x19.0;Cajon HSS;420x430x16.0;Cajon HSS;220x220x12.5;158.09
66;11.6;2.1;7;6.6;K;T;150x150x12.5;Cajon HSS;453x463x25.0;Cajon HSS;430x440x19.0;Cajon HSS;220x220x12.5;221.68
66;11.6;2.1;7;6.6;K;L;150x150x12.5;Cajon HSS;463x433x25.0;Cajon HSS;440x410x19.0;Cajon HSS;220x220x12.5;216.41
66;11.6;2.1;7;6.7;K;T;150x150x12.5;Cajon HSS;433x443x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;174.65
66;11.6;2.1;7;6.7;K;L;150x150x12.5;Cajon HSS;443x453x25.0;Cajon HSS;420x430x19.0;Cajon HSS;220x220x12.5;216.54
66;11.6;2.1;7;6.8;K;T;150x150x12.5;Cajon HSS;453x463x25.0;Cajon HSS;430x440x19.0;Cajon HSS;220x220x12.5;221.95
66;11.6;2.1;7;6.8;K;L;150x150x12.5;Cajon HSS;463x433x25.0;Cajon HSS;440x410x19.0;Cajon HSS;220x220x12.5;216.67
66;11.6;2.1;7;6.9;K;T;150x150x12.5;Cajon HSS;433x443x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;174.86
66;11.6;2.1;7;6.9;K;L;150x150x12.5;Cajon HSS;443x453x25.0;Cajon HSS;420x430x19.0;Cajon HSS;220x220x12.5;216.8
66;11.6;2.1;7;7;K;T;150x150x12.5;Cajon HSS;453x463x25.0;Cajon HSS;430x440x19.0;Cajon HSS;220x220x12.5;222.21
66;11.6;2.1;7;7;K;L;150x150x12.5;Cajon HSS;463x433x25.0;Cajon HSS;440x410x19.0;Cajon HSS;220x220x12.5;216.93
66;11.6;2.1;7;7.1;K;T;150x150x12.5;Cajon HSS;433x443x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;175.07
66;11.6;2.1;7;7.1;K;L;150x150x12.5;Cajon HSS;443x453x25.0;Cajon HSS;420x430x19.0;Cajon HSS;220x220x12.5;217.06
66;11.6;2.1;7;7.2;K;T;150x150x12.5;Cajon HSS;453x463x25.0;Cajon HSS;430x440x19.0;Cajon HSS;220x220x12.5;222.48
66;11.6;2.1;7;7.2;K;L;150x150x12.5;Cajon HSS;463x433x25.0;Cajon HSS;440x410x19.0;Cajon HSS;220x220x12.5;217.19
66;11.6;2.1;7;7.3;K;T;150x150x12.5;Cajon HSS;433x443x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;175.28
66;11.6;2.1;7;7.3;K;L;150x150x12.5;Cajon HSS;443x453x25.0;Cajon HSS;420x430x19.0;Cajon HSS;220x220x12.5;217.32
66;11.6;2.1;7;7.4;K;T;150x150x12.5;Cajon HSS;453x463x25.0;Cajon HSS;430x440x19.0;Cajon HSS;220x220x12.5;222.75
66;11.6;2.1;7;7.4;K;L;150x150x12.5;Cajon HSS;463x433x25.0;Cajon HSS;440x410x19.0;Cajon HSS;220x220x12.5;217.46
66;11.6;2.1;7;7.5;K;T;150x150x12.5;Cajon HSS;433x443x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;175.49
66;11.6;2.1;7;7.5;K;L;150x150x12.5;Cajon HSS;443x453x25.0;Cajon HSS;420x430x19.0;Cajon HSS;220x220x12.5;217.59
66;11.6;2.1;7;7.6;K;T;150x150x12.5;Cajon HSS;453x463x25.0;Cajon HSS;430x440x19.0;Cajon HSS;220x220x12.5;223.02
66;11.6;2.1;7;7.6;K;L;150x150x12.5;Cajon HSS;463x433x25.0;Cajon HSS;440x410x19.0;Cajon HSS;220x220x12.5;217.72
67;11.6;2.1;7;6.7;K;T;150x150x12.5;Cajon HSS;436x446x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;177.68
67;11.6;2.1;7;6.7;K;L;150x150x12.5;Cajon HSS;446x456x25.0;Cajon HSS;420x430x19.0;Cajon HSS;220x220x12.5;220.33
67;11.6;2.1;7;6.8;K;T;150x150x12.5;Cajon HSS;456x466x25.0;Cajon HSS;430x440x19.0;Cajon HSS;220x220x12.5;225.82
67;11.6;2.1;7;6.8;K;L;150x150x12.5;Cajon HSS;466x436x25.0;Cajon HSS;440x410x19.0;Cajon HSS;220x220x12.5;220.46
67;11.6;2.1;7;6.9;K;T;150x150x12.5;Cajon HSS;436x446x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;177.89
67;11.6;2.1;7;6.9;K;L;150x150x12.5;Cajon HSS;446x456x25.0;Cajon HSS;420x430x19.0;Cajon HSS;220x220x12.5;220.59
67;11.6;2.1;7;7;K;T;150x150x12.5;Cajon HSS;456x466x25.0;Cajon HSS;430x440x19.0;Cajon HSS;220x220x12.5;226.08
67;11.6;2.1;7;7;K;L;150x150x12.5;Cajon HSS;466x436x25.0;Cajon HSS;440x410x19.0;Cajon HSS;220x220x12.5;220.72
67;11.6;2.1;7;7.1;K;T;150x150x12.5;Cajon HSS;436x446x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;178.11
67;11.6;2.1;7;7.1;K;L;150x150x12.5;Cajon HSS;446x456x25.0;Cajon HSS;420x430x19.0;Cajon HSS;220x220x12.5;220.85
67;11.6;2.1;7;7.2;K;T;150x150x12.5;Cajon HSS;456x466x25.0;Cajon HSS;430x440x19.0;Cajon HSS;220x220x12.5;226.35
67;11.6;2.1;7;7.2;K;L;150x150x12.5;Cajon HSS;466x436x25.0;Cajon HSS;440x410x19.0;Cajon HSS;220x220x12.5;220.98
67;11.6;2.1;7;7.3;K;T;150x150x12.5;Cajon HSS;436x446x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;178.32
67;11.6;2.1;7;7.3;K;L;150x150x12.5;Cajon HSS;446x456x25.0;Cajon HSS;420x430x19.0;Cajon HSS;220x220x12.5;221.11
67;11.6;2.1;7;7.4;K;T;150x150x12.5;Cajon HSS;456x466x25.0;Cajon HSS;430x440x19.0;Cajon HSS;220x220x12.5;226.62
67;11.6;2.1;7;7.4;K;L;150x150x12.5;Cajon HSS;466x436x25.0;Cajon HSS;440x410x19.0;Cajon HSS;220x220x12.5;221.25
67;11.6;2.1;7;7.5;K;T;150x150x12.5;Cajon HSS;436x446x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;178.53
67;11.6;2.1;7;7.5;K;L;150x150x12.5;Cajon HSS;446x456x25.0;Cajon HSS;420x430x19.0;Cajon HSS;220x220x12.5;221.38
67;11.6;2.1;7;7.6;K;T;150x150x12.5;Cajon HSS;456x466x25.0;Cajon HSS;430x440x19.0;Cajon HSS;220x220x12.5;226.89
67;11.6;2.1;7;7.6;K;L;150x150x12.5;Cajon HSS;466x436x25.0;Cajon HSS;440x410x19.0;Cajon HSS;220x220x12.5;221.51
67;11.6;2.1;7;7.7;K;T;150x150x12.5;Cajon HSS;436x446x19.0;Cajon HSS;410x420x16.0;Cajon HSS;220x220x12.5;178.74
67;11.6;2.1;7;7.7;K;L;150x150x12.5;Cajon HSS;446x456x25.0;Cajon HSS;420x430x19.0;Cajon HSS;220x220x12.5;221.64
68;11.6;2.1;7;6.8;K;T;150x150x12.5;Cajon HSS;459x469x25.0;Cajon HSS;440x450x19.0;Cajon HSS;230x230x12.5;233.66
68;11.6;2.1;7;6.8;K;L;150x150x12.5;Cajon HSS;469x439x25.0;Cajon HSS;450x420x19.0;Cajon HSS;230x230x12.5;228.22
68;11.6;2.1;7;6.9;K;T;150x150x12.5;Cajon HSS;439x449x19.0;Cajon HSS;420x430x16.0;Cajon HSS;230x230x12.5;184.27
68;11.6;2.1;7;6.9;K;L;150x150x12.5;Cajon HSS;449x459x25.0;Cajon HSS;430x440x19.0;Cajon HSS;230x230x12.5;228.35
68;11.6;2.1;7;7;K;T;150x150x12.5;Cajon HSS;459x469x25.0;Cajon HSS;440x450x19.0;Cajon HSS;230x230x12.5;233.93
68;11.6;2.1;7;7;K;L;150x150x12.5;Cajon HSS;469x439x25.0;Cajon HSS;450x420x19.0;Cajon HSS;230x230x12.5;228.49
68;11.6;2.1;7;7.1;K;T;150x150x12.5;Cajon HSS;439x449x19.0;Cajon HSS;420x430x16.0;Cajon HSS;230x230x12.5;184.49
68;11.6;2.1;7;7.1;K;L;150x150x12.5;Cajon HSS;449x459x25.0;Cajon HSS;430x440x19.0;Cajon HSS;230x230x12.5;228.62
68;11.6;2.1;7;7.2;K;T;150x150x12.5;Cajon HSS;459x469x25.0;Cajon HSS;440x450x19.0;Cajon HSS;230x230x12.5;234.21
68;11.6;2.1;7;7.2;K;L;150x150x12.5;Cajon HSS;469x439x25.0;Cajon HSS;450x420x19.0;Cajon HSS;230x230x12.5;228.75
68;11.6;2.1;7;7.3;K;T;150x150x12.5;Cajon HSS;439x449x19.0;Cajon HSS;420x430x16.0;Cajon HSS;230x230x12.5;184.71
68;11.6;2.1;7;7.3;K;L;150x150x12.5;Cajon HSS;449x459x25.0;Cajon HSS;430x440x19.0;Cajon HSS;230x230x12.5;228.89
68;11.6;2.1;7;7.4;K;T;150x150x12.5;Cajon HSS;459x469x25.0;Cajon HSS;440x450x19.0;Cajon HSS;230x230x12.5;234.48
68;11.6;2.1;7;7.4;K;L;150x150x12.5;Cajon HSS;469x439x25.0;Cajon HSS;450x420x19.0;Cajon HSS;230x230x12.5;229.02
68;11.6;2.1;7;7.5;K;T;150x150x12.5;Cajon HSS;439x449x19.0;Cajon HSS;420x430x16.0;Cajon HSS;230x230x12.5;184.92
68;11.6;2.1;7;7.5;K;L;150x150x12.5;Cajon HSS;449x459x25.0;Cajon HSS;430x440x19.0;Cajon HSS;230x230x12.5;229.16
68;11.6;2.1;7;7.6;K;T;150x150x12.5;Cajon HSS;459x469x25.0;Cajon HSS;440x450x19.0;Cajon HSS;230x230x12.5;234.76
68;11.6;2.1;7;7.6;K;L;150x150x12.5;Cajon HSS;469x439x25.0;Cajon HSS;450x420x19.0;Cajon HSS;230x230x12.5;229.29
68;11.6;2.1;7;7.7;K;T;150x150x12.5;Cajon HSS;439x449x19.0;Cajon HSS;420x430x16.0;Cajon HSS;230x230x12.5;185.14
68;11.6;2.1;7;7.7;K;L;150x150x12.5;Cajon HSS;449x459x25.0;Cajon HSS;430x440x19.0;Cajon HSS;230x230x12.5;229.43
68;11.6;2.1;7;7.8;K;T;150x150x12.5;Cajon HSS;459x469x25.0;Cajon HSS;440x450x19.0;Cajon HSS;230x230x12.5;235.03
68;11.6;2.1;7;7.8;K;L;150x150x12.5;Cajon HSS;469x439x25.0;Cajon HSS;450x420x19.0;Cajon HSS;230x230x12.5;229.56
69;11.6;2.1;7;6.9;K;T;150x150x12.5;Cajon HSS;442x452x25.0;Cajon HSS;420x430x19.0;Cajon HSS;230x230x12.5;226.71
69;11.6;2.1;7;6.9;K;L;150x150x12.5;Cajon HSS;452x462x25.0;Cajon HSS;430x440x19.0;Cajon HSS;230x230x12.5;232.24
69;11.6;2.1;7;7;K;T;150x150x12.5;Cajon HSS;462x472x25.0;Cajon HSS;440x450x19.0;Cajon HSS;230x230x12.5;237.9
69;11.6;2.1;7;7;K;L;150x150x12.5;Cajon HSS;472x442x25.0;Cajon HSS;450x420x19.0;Cajon HSS;230x230x12.5;232.37
69;11.6;2.1;7;7.1;K;T;150x150x12.5;Cajon HSS;442x452x25.0;Cajon HSS;420x430x19.0;Cajon HSS;230x230x12.5;226.98
69;11.6;2.1;7;7.1;K;L;150x150x12.5;Cajon HSS;452x462x25.0;Cajon HSS;430x440x19.0;Cajon HSS;230x230x12.5;232.51
69;11.6;2.1;7;7.2;K;T;150x150x12.5;Cajon HSS;462x472x25.0;Cajon HSS;440x450x19.0;Cajon HSS;230x230x12.5;238.18
69;11.6;2.1;7;7.2;K;L;150x150x12.5;Cajon HSS;472x442x25.0;Cajon HSS;450x420x19.0;Cajon HSS;230x230x12.5;232.64
69;11.6;2.1;7;7.3;K;T;150x150x12.5;Cajon HSS;442x452x25.0;Cajon HSS;420x430x19.0;Cajon HSS;230x230x12.5;227.24
69;11.6;2.1;7;7.3;K;L;150x150x12.5;Cajon HSS;452x462x25.0;Cajon HSS;430x440x19.0;Cajon HSS;230x230x12.5;232.78
69;11.6;2.1;7;7.4;K;T;150x150x12.5;Cajon HSS;462x472x25.0;Cajon HSS;440x450x19.0;Cajon HSS;230x230x12.5;238.45
69;11.6;2.1;7;7.4;K;L;150x150x12.5;Cajon HSS;472x442x25.0;Cajon HSS;450x420x19.0;Cajon HSS;230x230x12.5;232.91
69;11.6;2.1;7;7.5;K;T;150x150x12.5;Cajon HSS;442x452x25.0;Cajon HSS;420x430x19.0;Cajon HSS;230x230x12.5;227.5
69;11.6;2.1;7;7.5;K;L;150x150x12.5;Cajon HSS;452x462x25.0;Cajon HSS;430x440x19.0;Cajon HSS;230x230x12.5;233.05
