experiment,iteration,pobj,p,gray_level,problem_type,criterion,pmax
3,12,0.10839965811270541,2.0,0.3676122695432833,0,0,2
3,13,0.10850701375240754,2.0,0.3664512219732815,0,0,2
3,14,0.10865867280039415,2.0,0.3646607677468933,0,0,2
3,15,0.10891309721083206,2.0,0.36237417633940017,0,0,2
3,16,0.10919162359234724,2.0,0.36010976059320754,0,0,2
3,17,0.1094206238131637,2.0,0.3582568080502846,0,0,2
3,18,0.10959588935693333,2.0,0.35676004360460756,0,0,2
3,19,0.10974042089440995,2.0,0.3552397110099426,0,0,2
4,1,0.1862474545279641,1.0853425760725057,0.3592542332978346,0,0,2
4,2,0.17333086154803612,1.1796644324416294,0.37434882029606903,0,0,2
4,3,0.16308506397911499,1.2853947432108779,0.40059472935738544,0,0,2
4,4,0.15548446083766462,1.4021410287030631,0.4121219840844158,0,0,2
4,5,0.1479830508918243,1.5292426307539535,0.41041928369452774,0,0,2
4,6,0.14021644764299337,1.6672403260266224,0.40648407202214437,0,0,2
4,7,0.13239434891276897,1.817508006558616,0.4054287348106274,0,0,2
4,8,0.12452553279072825,1.9814762947824198,0.406260326127291,0,0,2
4,9,0.11675501524177057,2.0,0.40837584853228726,0,0,2
4,10,0.1167089952206748,2.0,0.402268674119231,0,0,2
4,11,0.11738283587418004,2.0,0.3955890885715806,0,0,2
4,12,0.11817207641150435,2.0,0.38808288218000414,0,0,2
4,13,0.1190669239473254,2.0,0.3813846793697453,0,0,2
4,14,0.11997491302040172,2.0,0.3753396958956554,0,0,2
4,15,0.12079969645703426,2.0,0.37042274232842676,0,0,2
4,16,0.12141017693630268,2.0,0.36504028092507373,0,0,2
4,17,0.12187537448138336,2.0,0.3623775844087782,0,0,2
4,18,0.12223216263067974,2.0,0.3606218129574305,0,0,2
4,19,0.12246981785669034,2.0,0.3586366255224179,0,0,2
5,1,0.18640218733711383,1.0856897027173464,0.36260938669301523,0,0,3
5,2,0.1700988621747786,1.1783871696801445,0.35962740404972565,0,0,3
5,3,0.1558412214438379,1.279487208149568,0.3636294780575266,0,0,3
5,4,0.14539965220906328,1.388179902131979,0.35546042732010874,0,0,3
5,5,0.13915219793711356,1.5045675507123584,0.34473714333108646,0,0,3
