Modelo,MAE,RMSE,R2,Tiempo (s)
Regresión Lineal (sin escalado),0.019573419638860754,0.025915266682862707,0.8640963542460551,0.020787715911865234
Regresión Lineal (con escalado),0.019573419638860754,0.0259152666828627,0.8640963542460551,0.00790095329284668
KNN (k=5),0.00902426494430852,0.020644591964753878,0.9137553131245205,0.007900714874267578
KNN (k=9),0.01240666331247889,0.023774264673428976,0.8856242567666521,0.009075164794921875
